epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,207.511,1.00931,1.43547,0.81199,0.44111,0.78974,0.56724,0.4283,0.92516,1.30979,0.81746,0.000371313,0.000371313,0.000371313
43,212.376,1.05084,1.45757,0.80746,0.45708,0.74812,0.56527,0.43,0.92087,1.30783,0.8185,0.000365125,0.000365125,0.000365125
44,217.416,1.01312,1.40523,0.80729,0.4403,0.74312,0.55527,0.4031,1.01654,1.43785,0.82255,0.000358938,0.000358938,0.000358938
45,221.979,1.04026,1.42549,0.80815,0.43285,0.72163,0.55262,0.42045,0.90418,1.40188,0.81557,0.00035275,0.00035275,0.00035275
46,226.527,0.99946,1.37576,0.80927,0.4629,0.82541,0.5885,0.44385,0.93171,1.27434,0.8191,0.000346563,0.000346563,0.000346563
47,231.092,1.03172,1.4029,0.8032,0.45011,0.7801,0.58874,0.43651,0.93841,1.30089,0.81937,0.000340375,0.000340375,0.000340375
48,235.657,1.05397,1.41815,0.8067,0.4848,0.7882,0.5912,0.45198,0.89702,1.26568,0.81763,0.000334188,0.000334188,0.000334188
49,240.034,1.04468,1.37976,0.8039,0.49374,0.8154,0.58677,0.44378,0.92989,1.28756,0.82027,0.000328,0.000328,0.000328
50,244.811,1.02815,1.3834,0.80333,0.44191,0.76978,0.57551,0.43942,0.90385,1.37909,0.8171,0.000321812,0.000321812,0.000321812
51,249.54,1.01532,1.35439,0.80323,0.46927,0.79399,0.60632,0.46089,0.90364,1.28857,0.81668,0.000315625,0.000315625,0.000315625
52,254.072,0.97603,1.3157,0.80844,0.4972,0.79893,0.61446,0.45848,0.94214,1.2476,0.81901,0.000309437,0.000309437,0.000309437
53,258.697,0.99377,1.32388,0.80398,0.49324,0.76262,0.61431,0.46652,0.89803,1.24976,0.81583,0.00030325,0.00030325,0.00030325
54,263.388,1.01909,1.32839,0.80282,0.49787,0.78102,0.62447,0.47936,0.88378,1.21775,0.81524,0.000297063,0.000297063,0.000297063
55,268.063,0.99037,1.30657,0.8021,0.50973,0.80877,0.61909,0.46694,0.91752,1.23887,0.81821,0.000290875,0.000290875,0.000290875
56,272.82,0.94892,1.25616,0.80269,0.52677,0.79395,0.61731,0.4738,0.8784,1.21916,0.81548,0.000284688,0.000284688,0.000284688
57,277.462,1.00168,1.28897,0.80585,0.50645,0.75383,0.60544,0.46636,0.88676,1.27111,0.8158,0.0002785,0.0002785,0.0002785
58,282.298,0.96083,1.26854,0.80003,0.52319,0.82038,0.63607,0.4822,0.90066,1.16341,0.81498,0.000272313,0.000272313,0.000272313
59,286.955,0.93684,1.26456,0.80209,0.51433,0.76005,0.63242,0.48133,0.8814,1.24357,0.81424,0.000266125,0.000266125,0.000266125
60,291.686,0.98451,1.279,0.79781,0.52642,0.79093,0.65065,0.49937,0.87022,1.18291,0.81399,0.000259938,0.000259938,0.000259938
61,296.232,0.95378,1.24701,0.80321,0.53774,0.8402,0.64562,0.49513,0.88568,1.13717,0.81524,0.00025375,0.00025375,0.00025375
62,300.864,0.95722,1.2283,0.80493,0.53708,0.81766,0.66483,0.50831,0.88311,1.15062,0.8145,0.000247563,0.000247563,0.000247563
63,305.503,0.93553,1.22005,0.79923,0.5652,0.8196,0.67191,0.50995,0.89457,1.12009,0.81666,0.000241375,0.000241375,0.000241375
64,309.96,0.93983,1.21861,0.79867,0.57133,0.80656,0.68106,0.52165,0.89588,1.10592,0.81539,0.000235188,0.000235188,0.000235188
65,314.676,0.96844,1.23365,0.80382,0.55034,0.82438,0.6951,0.53389,0.89181,1.1465,0.8148,0.000229,0.000229,0.000229
66,319.204,0.96598,1.21045,0.79764,0.55182,0.83671,0.68777,0.52905,0.87881,1.11921,0.81369,0.000222813,0.000222813,0.000222813
67,323.806,0.93664,1.20587,0.80159,0.60277,0.82718,0.71344,0.54505,0.90747,1.0822,0.81506,0.000216625,0.000216625,0.000216625
68,328.826,0.92411,1.1556,0.80473,0.57491,0.77634,0.68806,0.52672,0.89556,1.1533,0.81462,0.000210437,0.000210437,0.000210437
69,333.431,0.91204,1.17623,0.80246,0.58784,0.79193,0.69947,0.53943,0.88431,1.13647,0.8145,0.00020425,0.00020425,0.00020425
70,337.96,0.92491,1.15322,0.80028,0.5914,0.76879,0.70777,0.53978,0.9113,1.13119,0.81636,0.000198063,0.000198063,0.000198063
71,342.475,0.95627,1.19331,0.80848,0.60713,0.78597,0.73252,0.56145,0.90758,1.08591,0.81515,0.000191875,0.000191875,0.000191875
72,347.087,1.025,1.19312,0.79954,0.59442,0.81026,0.73339,0.55832,0.92585,1.08798,0.81674,0.000185688,0.000185688,0.000185688
73,351.53,0.98368,1.19196,0.80175,0.60423,0.82214,0.74168,0.57481,0.87194,1.05999,0.81291,0.0001795,0.0001795,0.0001795
74,356.237,0.95957,1.15649,0.8007,0.61651,0.80871,0.74574,0.57756,0.88004,1.07653,0.81338,0.000173313,0.000173313,0.000173313
75,360.968,0.93851,1.14097,0.80208,0.62834,0.85636,0.75447,0.57741,0.88196,1.03522,0.81314,0.000167125,0.000167125,0.000167125
76,365.255,0.93245,1.12243,0.8035,0.61944,0.82443,0.74875,0.57819,0.88612,1.04816,0.81283,0.000160938,0.000160938,0.000160938
77,369.944,0.90951,1.10658,0.80825,0.61494,0.8242,0.75103,0.5781,0.8976,1.04309,0.81419,0.00015475,0.00015475,0.00015475
78,374.631,0.88119,1.10153,0.79456,0.64854,0.80069,0.75987,0.58382,0.86533,1.03313,0.81244,0.000148563,0.000148563,0.000148563
79,379.586,0.93421,1.11777,0.79838,0.6334,0.79754,0.76432,0.58818,0.86616,1.05021,0.81207,0.000142375,0.000142375,0.000142375
80,384.426,0.91394,1.11283,0.79686,0.64413,0.81739,0.77553,0.60209,0.87688,1.01571,0.81177,0.000136187,0.000136187,0.000136187
81,389.425,0.9068,1.09986,0.79988,0.63215,0.84102,0.77062,0.5996,0.86601,1.00056,0.81209,0.00013,0.00013,0.00013
82,393.999,0.89938,1.09305,0.79872,0.63811,0.82802,0.76847,0.59703,0.87042,1.00798,0.81181,0.000123812,0.000123812,0.000123812
83,398.878,0.90189,1.09502,0.80037,0.63781,0.83396,0.77753,0.60676,0.86143,0.99351,0.81074,0.000117625,0.000117625,0.000117625
84,403.523,0.93626,1.10798,0.7978,0.63958,0.84083,0.78295,0.60852,0.85999,0.9899,0.81,0.000111438,0.000111438,0.000111438
